epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3219,1.71781,3.31089,1.78663,0.00278,0.93659,0.15276,0.06156,1.72286,3.72997,2.03752,0.00056,0.00056,0.00056
2,45.3208,1.82934,3.13449,1.90518,0.33582,0.0561,0.14621,0.04722,2.08669,3.78139,2.57567,0.00112871,0.00112871,0.00112871
3,60.3484,1.8881,2.94288,1.9369,0.21501,0.23659,0.126,0.03756,2.26304,4.16032,2.83826,0.00168594,0.00168594,0.00168594
4,78.2159,1.89294,2.78007,1.96805,0.1625,0.17805,0.07168,0.0227,2.73727,8.82087,3.33873,0.0019406,0.0019406,0.0019406
5,94.7381,1.93081,2.71719,1.94232,0.04552,0.24878,0.03097,0.01028,2.37798,34.7313,2.9505,0.0019208,0.0019208,0.0019208
6,112.535,1.92455,2.6318,1.9092,0.20902,0.18049,0.11063,0.04053,2.29336,6.38705,2.73436,0.001901,0.001901,0.001901
7,132.251,1.93175,2.5402,1.9474,0.16417,0.22927,0.11107,0.03467,2.52008,2.86912,2.73794,0.0018812,0.0018812,0.0018812
