epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,993.64,1.46473,1.63088,1.57917,0.60211,0.60732,0.63539,0.362,1.40932,1.48596,1.55963,0.0011684,0.0011684,0.0011684
44,1026,1.51549,1.623,1.60004,0.6387,0.57345,0.64475,0.37259,1.39371,1.62778,1.55562,0.0011486,0.0011486,0.0011486
45,1052.87,1.47606,1.57194,1.59784,0.70314,0.5561,0.66308,0.38453,1.37331,1.4411,1.53292,0.0011288,0.0011288,0.0011288
46,1082.6,1.47059,1.61187,1.5528,0.6031,0.55366,0.60536,0.3479,1.37346,1.62766,1.5475,0.001109,0.001109,0.001109
47,1112.46,1.48893,1.56378,1.55747,0.64861,0.62439,0.65342,0.38925,1.32885,1.42393,1.51844,0.0010892,0.0010892,0.0010892
48,1145.6,1.46643,1.61841,1.57426,0.66923,0.66098,0.6992,0.41468,1.29588,1.3598,1.48871,0.0010694,0.0010694,0.0010694
49,1174.08,1.41574,1.55507,1.53863,0.70439,0.61707,0.70128,0.42634,1.29386,1.3014,1.4845,0.0010496,0.0010496,0.0010496
50,1210.84,1.41489,1.50261,1.52276,0.66098,0.6439,0.69755,0.40503,1.38187,1.31941,1.54569,0.0010298,0.0010298,0.0010298
51,1240.27,1.41843,1.51341,1.5533,0.66973,0.67264,0.72539,0.42467,1.34504,1.29888,1.52926,0.00101,0.00101,0.00101
52,1273.93,1.46782,1.48458,1.54096,0.6891,0.67035,0.7255,0.43874,1.32861,1.2848,1.49625,0.0009902,0.0009902,0.0009902
53,1305.62,1.39914,1.47724,1.5261,0.6679,0.64258,0.71113,0.43168,1.34583,1.31089,1.50433,0.0009704,0.0009704,0.0009704
54,1335.88,1.42428,1.5319,1.54026,0.7262,0.70976,0.77465,0.47301,1.25968,1.19327,1.44831,0.0009506,0.0009506,0.0009506
55,1371.81,1.36857,1.55558,1.51176,0.68883,0.67805,0.74761,0.44221,1.31814,1.33033,1.49397,0.0009308,0.0009308,0.0009308
56,1407.91,1.37046,1.49197,1.50279,0.71532,0.6619,0.75605,0.45785,1.31018,1.28755,1.50092,0.000911,0.000911,0.000911
57,1446.76,1.36908,1.40256,1.48755,0.74676,0.69766,0.77458,0.48244,1.25148,1.16456,1.43096,0.0008912,0.0008912,0.0008912
58,1483.8,1.38116,1.41774,1.50127,0.71108,0.69633,0.75619,0.46513,1.28464,1.18829,1.44052,0.0008714,0.0008714,0.0008714
59,1510.39,1.28607,1.34011,1.4227,0.74443,0.73171,0.80809,0.51512,1.22272,1.09906,1.40785,0.0008516,0.0008516,0.0008516
60,1547.4,1.36449,1.44466,1.48655,0.78057,0.70244,0.79242,0.5016,1.18471,1.15542,1.39496,0.0008318,0.0008318,0.0008318
61,1582.78,1.35025,1.41859,1.47457,0.73613,0.72124,0.79998,0.50991,1.2023,1.18388,1.42288,0.000812,0.000812,0.000812
62,1613.4,1.3636,1.36722,1.50081,0.78329,0.70732,0.80103,0.51333,1.18317,1.10978,1.38703,0.0007922,0.0007922,0.0007922
63,1645.83,1.31996,1.33534,1.45606,0.74323,0.72715,0.78979,0.51263,1.15201,1.11814,1.3652,0.0007724,0.0007724,0.0007724
64,1679.39,1.30891,1.36434,1.4558,0.78728,0.75826,0.83625,0.5518,1.14922,1.0725,1.36528,0.0007526,0.0007526,0.0007526
65,1715.58,1.33438,1.4032,1.45703,0.74503,0.6913,0.77211,0.48954,1.16433,1.20485,1.37024,0.0007328,0.0007328,0.0007328
66,1752.83,1.32227,1.3521,1.45183,0.7526,0.7878,0.83663,0.546,1.15594,1.03816,1.36474,0.000713,0.000713,0.000713
67,1788.95,1.30079,1.33529,1.44414,0.7612,0.69193,0.76578,0.46508,1.29648,1.17075,1.46277,0.0006932,0.0006932,0.0006932
68,1823.76,1.325,1.29533,1.44863,0.82355,0.73992,0.83876,0.54544,1.16698,1.05552,1.36503,0.0006734,0.0006734,0.0006734
69,1859.23,1.28612,1.2966,1.42555,0.79985,0.76999,0.83916,0.55308,1.11108,1.02803,1.33748,0.0006536,0.0006536,0.0006536
70,1901.86,1.27721,1.29053,1.42397,0.78465,0.7465,0.82732,0.54898,1.14269,1.02533,1.35643,0.0006338,0.0006338,0.0006338
71,1937,1.27399,1.28081,1.41502,0.81994,0.73659,0.84583,0.57276,1.10144,1.01951,1.33569,0.000614,0.000614,0.000614
72,1973.66,1.22518,1.28258,1.37769,0.81885,0.74878,0.84729,0.5575,1.10651,1.0191,1.33124,0.0005942,0.0005942,0.0005942
73,2008.55,1.24591,1.27328,1.3936,0.81709,0.74878,0.84701,0.57195,1.07548,0.99591,1.31573,0.0005744,0.0005744,0.0005744
74,2060.12,1.23763,1.25036,1.40809,0.80047,0.79257,0.86857,0.5783,1.11184,0.95277,1.32938,0.0005546,0.0005546,0.0005546
75,2144.88,1.25799,1.32662,1.40432,0.80347,0.77561,0.85798,0.5615,1.10427,0.98255,1.32282,0.0005348,0.0005348,0.0005348
76,2216.23,1.24274,1.26829,1.42155,0.78536,0.82927,0.87052,0.59378,1.04728,0.9479,1.29622,0.000515,0.000515,0.000515
77,2294.42,1.20411,1.20846,1.38233,0.80116,0.8122,0.88242,0.60237,1.05629,0.91728,1.29717,0.0004952,0.0004952,0.0004952
78,2362.59,1.23504,1.21386,1.39976,0.80268,0.79371,0.87961,0.59632,1.05427,0.93745,1.28836,0.0004754,0.0004754,0.0004754
79,2438.23,1.2266,1.265,1.4039,0.81992,0.79955,0.89173,0.61764,1.03273,0.9247,1.27787,0.0004556,0.0004556,0.0004556
80,2564.36,1.1954,1.16633,1.37085,0.84036,0.80889,0.89599,0.61865,1.01017,0.89541,1.27117,0.0004358,0.0004358,0.0004358
81,2683.91,1.17993,1.17033,1.3603,0.81286,0.86872,0.9028,0.6358,1.01169,0.86447,1.25117,0.000416,0.000416,0.000416
82,2780.17,1.21695,1.1694,1.38603,0.80633,0.86315,0.90431,0.6479,0.97351,0.84255,1.2394,0.0003962,0.0003962,0.0003962
83,2898.38,1.13683,1.14666,1.32179,0.87153,0.79419,0.9074,0.64791,0.96373,0.84854,1.23238,0.0003764,0.0003764,0.0003764
84,3056.61,1.15041,1.09222,1.33595,0.79885,0.86208,0.90454,0.64073,1.00654,0.8461,1.252,0.0003566,0.0003566,0.0003566
85,3135.78,1.17969,1.20625,1.35488,0.84558,0.82927,0.90872,0.66514,0.96554,0.81738,1.22757,0.0003368,0.0003368,0.0003368
86,3262.76,1.17903,1.14383,1.36489,0.86541,0.84878,0.91498,0.67004,0.93948,0.81956,1.21891,0.000317,0.000317,0.000317
87,3403.5,1.16824,1.13954,1.32708,0.81461,0.85735,0.90972,0.65482,0.94837,0.84023,1.22125,0.0002972,0.0002972,0.0002972
