epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,81.1158,0.7167,0.79016,1.17103,0.72683,0.65,0.84939,0.54916,1.59793,1.5253,1.35278,2.82082e-05,2.82082e-05,2.82082e-05
40,81.9935,0.7547,0.99697,1.15827,0.72683,0.65,0.84939,0.54916,1.59793,1.5253,1.35278,2.84911e-05,2.84911e-05,2.84911e-05
41,82.9266,0.78356,1.12396,1.13059,0.69763,0.65,0.84617,0.55097,1.59952,1.58055,1.35547,2.87504e-05,2.87504e-05,2.87504e-05
42,83.8038,0.8803,1.092,1.17173,0.69763,0.65,0.84617,0.55097,1.59952,1.58055,1.35547,2.89861e-05,2.89861e-05,2.89861e-05
43,85.316,1.00855,0.97856,1.50382,0.74627,0.65,0.84774,0.52905,1.59018,1.63094,1.35695,2.91983e-05,2.91983e-05,2.91983e-05
44,86.6264,0.67973,0.92606,1.07845,0.74627,0.65,0.84774,0.52905,1.59018,1.63094,1.35695,2.93869e-05,2.93869e-05,2.93869e-05
45,88.2252,0.69513,1.43635,1.11335,0.77023,0.65,0.84769,0.52736,1.60705,1.68312,1.36654,2.9552e-05,2.9552e-05,2.9552e-05
46,89.8016,0.86796,1.03749,1.25871,0.77023,0.65,0.84769,0.52736,1.60705,1.68312,1.36654,2.96935e-05,2.96935e-05,2.96935e-05
47,91.2183,0.86889,0.76701,1.25678,0.82652,0.64044,0.84696,0.52834,1.59781,1.68046,1.36033,2.98114e-05,2.98114e-05,2.98114e-05
48,92.6234,0.79469,1.00822,1.15037,0.82652,0.64044,0.84696,0.52834,1.59781,1.68046,1.36033,2.99058e-05,2.99058e-05,2.99058e-05
49,94.4729,1.00414,1.09727,1.37523,0.8034,0.65,0.8487,0.52683,1.62969,1.7018,1.37452,2.99766e-05,2.99766e-05,2.99766e-05
50,95.9688,0.65838,0.86908,1.1006,0.8034,0.65,0.8487,0.52683,1.62969,1.7018,1.37452,3.00238e-05,3.00238e-05,3.00238e-05
51,97.5887,0.72745,0.93399,1.22,0.70588,0.65,0.70356,0.39449,1.64282,1.76903,1.38704,3.00475e-05,3.00475e-05,3.00475e-05
52,98.958,0.82787,1.64755,1.18627,0.70588,0.65,0.70356,0.39449,1.64282,1.76903,1.38704,3.00476e-05,3.00476e-05,3.00476e-05
53,100.596,0.65511,1.03275,1.09214,0.70588,0.65,0.70356,0.39449,1.64282,1.76903,1.38704,3.00242e-05,3.00242e-05,3.00242e-05
54,102.301,0.71793,0.96835,1.10102,0.85012,0.48207,0.68146,0.37402,1.63854,1.85278,1.3859,2.99772e-05,2.99772e-05,2.99772e-05
55,103.951,0.69174,1.14747,1.16735,0.85012,0.48207,0.68146,0.37402,1.63854,1.85278,1.3859,2.99066e-05,2.99066e-05,2.99066e-05
56,105.997,0.67734,0.85603,1.23454,0.85012,0.48207,0.68146,0.37402,1.63854,1.85278,1.3859,2.98125e-05,2.98125e-05,2.98125e-05
57,107.739,0.67468,0.70315,1.18959,0.85577,0.47431,0.5565,0.27665,1.67411,1.93842,1.39745,2.96948e-05,2.96948e-05,2.96948e-05
58,109.543,0.8016,1.01003,1.19277,0.85577,0.47431,0.5565,0.27665,1.67411,1.93842,1.39745,2.95535e-05,2.95535e-05,2.95535e-05
59,111.147,0.77751,0.74722,1.26026,0.85577,0.47431,0.5565,0.27665,1.67411,1.93842,1.39745,2.93887e-05,2.93887e-05,2.93887e-05
